source_id,source_type,title,author,publication_year,publisher_or_institution,url,source_scope,evidence_scope,reliability_level,access_status,verification_status,notes
SRC_STAGE6_UON_EKEGUSII_2017,academic_paper,Gender Identity Through the Ekegusii Naming System,Zipporah Kwamboka Otiso,2017,University of Nairobi Journal of Language and Linguistics,https://doi.org/10.66563/uonjll.v6i0.1649,Ekegusii naming system and gender identity,Documented borrowing/adaptation of Kikuyu-associated names in Ekegusii,high,accessible,partially_verified,Landing page and abstract inspected; the abstract did not expose the Kariuki/Njoroge token-level claim, so direct page verification remains required.
SRC_STAGE6_LUO_NAMING_2020,academic_paper,Communalism in African Cultures and the Naming System among the Luo of Kenya,F. Ochieng'-Odhiambo,2020,Philosophia Africana,https://doi.org/10.5325/philafri.19.2.0154,Luo communalism and naming system,Academic background on Luo naming; not treated as proof for every token,high,restricted,needs_review,DOI metadata is recorded; publisher page returned access denied, so no token-level claim was promoted.
SRC_STAGE6_DHOLUO_TOPONYMS,academic_thesis,A Morpho-semantic Study of Toponyms in Dholuo,,,University of Nairobi,https://erepository.uonbi.ac.ke/server/api/core/bitstreams/2b7f4968-f5b9-4faa-8bb6-a7065cdbb53e/content,Dholuo toponyms and morpho-semantic naming,Time-of-birth naming associations for selected Dholuo forms,high,accessible,verified,PDF directly inspected; the naming relationships occur on PDF p. 43. Exact author and year were not asserted because they were not reliably available from the supplied document metadata.
SRC_STAGE6_LUO_NAMING_LANDSCAPE_2020,academic_paper,What's in a name? Reinventing Luo naming system in Kenya's ethnopolitical landscape,,,2020,https://doi.org/10.1080/14725843.2020.1791687,Luo naming in Kenya's ethnopolitical landscape,"Naming table associations including Ochieng/Achieng and Otieno/Atieno",high,accessible,partially_verified,Article section 4 was inspected and confirms general Luo naming-system context; the specific table location/wording was not confirmed.
SRC_STAGE6_SOUTHERN_LUO,academic_book,Traditional ideology and ethics among the Southern Luo,,,,,Southern Luo traditional naming based on time of birth,"Time-of-birth naming forms including Akinyi/Onyango/Ochieng/Odhiambo/Otieno/Odiwuor/Ogweno",moderate,unknown,needs_review,Indexed material supplied; page 182 is not recorded as verified.
SRC_STAGE6_BEHINDTHENAME,dictionary_or_lexicon,Behind the Name,,,,https://www.behindthename.com/name/otieno,Specialist onomastic reference entries,Corroborative name-origin/reference material,moderate,accessible,partially_verified,Otieno entry directly inspected and states born at night in Luo; entries for the other pilot tokens and access dates were not established, so no ledger record was promoted.
SRC_STAGE6_BENSON_1964,academic_book,Kikuyu-English Dictionary,T. G. Benson,1964,Clarendon Press,,Kikuyu lexicographic reference,Secondary citations for selected name forms,high,unknown,partially_verified,"Secondary references cite pages 13, 251, and 335; direct dictionary-page verification remains required."
SRC_STAGE6_UON_GACHIHI_KIKUYU_1982,academic_thesis,The Role of Kikuyu Women in the Mau Mau Movement,,,University of Nairobi,https://erepository.uonbi.ac.ke/bitstream/handle/11295/43701/Gachihi_The%20role%20of%20kikuyu%20women%20in%20the%20mau%20mau.pdf?sequence=2,Kikuyu social and historical institutions, Mwangi and Maina as generation-set names,moderate,accessible,verified,PDF directly inspected; generation-set discussion is on PDF pp. 95-96. Author and year were not populated without reliable metadata confirmation.
SRC_STAGE6_WIKTIONARY_MWANGI,other_documented_source,Mwangi - Wiktionary,,,Wiktionary,https://en.wiktionary.org/wiki/Mwangi,Secondary name reference,Secondary reproduction of Benson-linked Kikuyu given-name and generation-set claims,low,accessible,partially_verified,Entry directly inspected; it cites Benson p. 13 but is not independent of that citation trail.
SRC_STAGE6_WIKTIONARY_MAINA,other_documented_source,Maina - Wiktionary,,,Wiktionary,https://en.wiktionary.org/wiki/Maina,Secondary name reference,Secondary reproduction of Benson-linked Kikuyu generation-set claim,low,accessible,partially_verified,Entry directly inspected; it cites Benson p. 251 but is not independent of that citation trail.
SRC_STAGE6_WIKTIONARY_NJOROGE,other_documented_source,Njoroge - Wiktionary,,,Wiktionary,https://en.wiktionary.org/wiki/Njoroge,Secondary name reference,Secondary Kikuyu given-name and dictionary citation,low,accessible,partially_verified,Entry directly inspected; it cites Benson p. 335 and Armstrong, but underlying works were not inspected.
SRC_STAGE6B7_ACTA_NAMES_2003,academic_paper,Personal names in spoken and signed languages,Akach and Lubbe,2003,Acta Academica Supplementum,https://scholar.ufs.ac.za/bitstreams/2c4495cb-169d-4295-a009-6bb4336a8bbe/download,Luo personal naming,Time-of-day and circumstance naming; Omondi as born at dawn,moderate,accessible,verified,PDF directly inspected; Omondi appears on printed p. 115 (PDF p. 12). The authors explicitly describe this Luo account as personal knowledge rather than a cited regional study.
SRC_STAGE6B7_GENERATION_SETS,academic_paper,Generation Sets as Institutions of Cohesion and Mutual Existence in Pre-Colonial Kenya,,,unknown,https://www.researchgate.net/publication/329116976_Generation_Sets_as_Institutions_of_Cohesion_and_Mutual_Existence_in_Pre-Colonial_Kenya,Kikuyu generation sets,Mwangi and Maina generation-set claim,unknown,restricted,needs_review,ResearchGate page returned HTTP 403; publication metadata and token-level document content were not directly inspected.
